,Navn,Stasjon,Tid(norsk normaltid),Maksimumstemperatur (døgn),Middeltemperatur (døgn),Minimumstemperatur (døgn),Nedbør (døgn),Høyeste middelvind (døgn),År,Dag nummer
514,Oslo - Blindern,SN18700,2020-05-29 00:00:00+00:00,22.1,16.1,8.0,0.0,4.6,2020,150
515,Oslo - Blindern,SN18700,2020-05-30 00:00:00+00:00,23.0,18.2,13.7,0.0,6.9,2020,151
516,Oslo - Blindern,SN18700,2020-05-31 00:00:00+00:00,25.1,18.8,11.3,0.0,4.6,2020,152
517,Oslo - Blindern,SN18700,2020-06-01 00:00:00+00:00,27.2,19.9,10.3,0.0,4.3,2020,153
518,Oslo - Blindern,SN18700,2020-06-02 00:00:00+00:00,26.3,19.2,11.8,0.1,5.2,2020,154
519,Oslo - Blindern,SN18700,2020-06-03 00:00:00+00:00,23.5,17.5,10.4,0.2,5.7,2020,155
520,Oslo - Blindern,SN18700,2020-06-04 00:00:00+00:00,20.1,15.6,12.1,0.8,6.8,2020,156
521,Oslo - Blindern,SN18700,2020-06-05 00:00:00+00:00,17.4,13.0,10.2,0.7,7.8,2020,157
522,Oslo - Blindern,SN18700,2020-06-06 00:00:00+00:00,12.6,10.6,8.6,9.9,5.3,2020,158
523,Oslo - Blindern,SN18700,2020-06-07 00:00:00+00:00,15.4,11.5,9.4,20.5,7.0,2020,159
524,Oslo - Blindern,SN18700,2020-06-08 00:00:00+00:00,16.3,12.5,10.1,3.3,5.8,2020,160
525,Oslo - Blindern,SN18700,2020-06-09 00:00:00+00:00,20.9,15.2,10.5,0.4,3.9,2020,161
526,Oslo - Blindern,SN18700,2020-06-10 00:00:00+00:00,22.7,15.6,8.8,0.0,4.9,2020,162
527,Oslo - Blindern,SN18700,2020-06-11 00:00:00+00:00,25.5,20.7,14.4,0.9,6.0,2020,163
528,Oslo - Blindern,SN18700,2020-06-12 00:00:00+00:00,26.2,21.7,15.5,0.0,7.2,2020,164
529,Oslo - Blindern,SN18700,2020-06-13 00:00:00+00:00,25.5,21.1,16.0,0.0,6.4,2020,165
530,Oslo - Blindern,SN18700,2020-06-14 00:00:00+00:00,26.5,20.3,12.5,0.0,4.1,2020,166
531,Oslo - Blindern,SN18700,2020-06-15 00:00:00+00:00,28.8,22.3,12.3,0.0,3.9,2020,167
532,Oslo - Blindern,SN18700,2020-06-16 00:00:00+00:00,29.6,22.7,17.1,0.0,8.3,2020,168
533,Oslo - Blindern,SN18700,2020-06-17 00:00:00+00:00,27.1,22.0,16.7,0.6,5.4,2020,169
534,Oslo - Blindern,SN18700,2020-06-18 00:00:00+00:00,29.3,22.9,15.2,0.0,4.3,2020,170
535,Oslo - Blindern,SN18700,2020-06-19 00:00:00+00:00,29.9,24.6,17.8,0.0,4.9,2020,171
536,Oslo - Blindern,SN18700,2020-06-20 00:00:00+00:00,28.5,22.0,19.5,0.0,7.2,2020,172
537,Oslo - Blindern,SN18700,2020-06-21 00:00:00+00:00,21.9,18.4,17.2,5.9,5.4,2020,173
538,Oslo - Blindern,SN18700,2020-06-22 00:00:00+00:00,17.8,15.6,13.6,34.9,3.4,2020,174
539,Oslo - Blindern,SN18700,2020-06-23 00:00:00+00:00,25.8,19.9,12.3,0.0,4.8,2020,175
540,Oslo - Blindern,SN18700,2020-06-24 00:00:00+00:00,27.7,21.3,14.0,0.0,4.3,2020,176
541,Oslo - Blindern,SN18700,2020-06-25 00:00:00+00:00,27.2,21.8,15.9,0.0,5.7,2020,177
542,Oslo - Blindern,SN18700,2020-06-26 00:00:00+00:00,28.9,22.4,14.4,0.0,5.0,2020,178
543,Oslo - Blindern,SN18700,2020-06-27 00:00:00+00:00,30.9,23.8,17.5,0.1,6.0,2020,179
544,Oslo - Blindern,SN18700,2020-06-28 00:00:00+00:00,24.7,18.4,17.1,0.6,5.4,2020,180
545,Oslo - Blindern,SN18700,2020-06-29 00:00:00+00:00,20.3,16.3,13.2,25.9,8.6,2020,181
546,Oslo - Blindern,SN18700,2020-06-30 00:00:00+00:00,20.6,15.2,12.7,4.5,4.6,2020,182
547,Oslo - Blindern,SN18700,2020-07-01 00:00:00+00:00,18.8,13.6,10.5,10.2,5.5,2020,183
548,Oslo - Blindern,SN18700,2020-07-02 00:00:00+00:00,17.7,14.0,9.0,0.6,5.4,2020,184
549,Oslo - Blindern,SN18700,2020-07-03 00:00:00+00:00,17.7,12.1,7.9,3.0,6.3,2020,185
550,Oslo - Blindern,SN18700,2020-07-04 00:00:00+00:00,19.1,14.2,9.6,3.0,5.5,2020,186
551,Oslo - Blindern,SN18700,2020-07-05 00:00:00+00:00,16.8,13.6,10.6,0.0,7.5,2020,187
552,Oslo - Blindern,SN18700,2020-07-06 00:00:00+00:00,17.9,13.4,10.6,47.0,7.5,2020,188
553,Oslo - Blindern,SN18700,2020-07-07 00:00:00+00:00,17.3,11.2,8.7,2.3,10.0,2020,189
554,Oslo - Blindern,SN18700,2020-07-08 00:00:00+00:00,19.1,13.2,7.1,8.2,7.8,2020,190
555,Oslo - Blindern,SN18700,2020-07-09 00:00:00+00:00,20.6,14.8,8.4,2.1,6.2,2020,191
556,Oslo - Blindern,SN18700,2020-07-10 00:00:00+00:00,20.7,14.4,10.0,0.0,5.8,2020,192
557,Oslo - Blindern,SN18700,2020-07-11 00:00:00+00:00,21.6,15.5,8.9,0.7,5.6,2020,193
558,Oslo - Blindern,SN18700,2020-07-12 00:00:00+00:00,20.1,15.5,9.6,0.0,6.3,2020,194
559,Oslo - Blindern,SN18700,2020-07-13 00:00:00+00:00,20.4,15.8,10.0,0.0,5.2,2020,195
560,Oslo - Blindern,SN18700,2020-07-14 00:00:00+00:00,16.9,13.8,12.3,1.5,4.8,2020,196
561,Oslo - Blindern,SN18700,2020-07-15 00:00:00+00:00,23.1,17.4,14.1,12.0,5.7,2020,197
562,Oslo - Blindern,SN18700,2020-07-16 00:00:00+00:00,22.1,16.7,12.6,0.1,4.6,2020,198
563,Oslo - Blindern,SN18700,2020-07-17 00:00:00+00:00,20.9,16.7,13.1,0.0,7.3,2020,199
564,Oslo - Blindern,SN18700,2020-07-18 00:00:00+00:00,16.9,15.9,14.9,2.3,7.1,2020,200
565,Oslo - Blindern,SN18700,2020-07-19 00:00:00+00:00,17.7,15.9,14.8,14.9,5.5,2020,201
566,Oslo - Blindern,SN18700,2020-07-20 00:00:00+00:00,22.4,16.8,13.4,5.0,4.8,2020,202
567,Oslo - Blindern,SN18700,2020-07-21 00:00:00+00:00,19.3,14.8,12.3,0.0,5.7,2020,203
568,Oslo - Blindern,SN18700,2020-07-22 00:00:00+00:00,19.6,13.4,8.3,0.1,5.4,2020,204
569,Oslo - Blindern,SN18700,2020-07-23 00:00:00+00:00,20.6,14.5,7.1,1.7,5.7,2020,205
570,Oslo - Blindern,SN18700,2020-07-24 00:00:00+00:00,20.9,15.5,10.1,0.0,5.5,2020,206
571,Oslo - Blindern,SN18700,2020-07-25 00:00:00+00:00,21.7,16.4,12.1,0.0,6.2,2020,207
572,Oslo - Blindern,SN18700,2020-07-26 00:00:00+00:00,17.8,15.4,13.7,11.3,5.4,2020,208
573,Oslo - Blindern,SN18700,2020-07-27 00:00:00+00:00,20.8,16.4,14.3,13.1,6.9,2020,209
574,Oslo - Blindern,SN18700,2020-07-28 00:00:00+00:00,17.6,14.4,12.8,2.1,5.6,2020,210
575,Oslo - Blindern,SN18700,2020-07-29 00:00:00+00:00,18.5,13.8,11.5,16.5,5.3,2020,211
576,Oslo - Blindern,SN18700,2020-07-30 00:00:00+00:00,24.6,17.8,11.0,6.9,4.0,2020,212
577,Oslo - Blindern,SN18700,2020-07-31 00:00:00+00:00,25.9,19.9,12.5,0.0,4.2,2020,213
578,Oslo - Blindern,SN18700,2020-08-01 00:00:00+00:00,25.1,19.8,14.9,0.1,5.9,2020,214
579,Oslo - Blindern,SN18700,2020-08-02 00:00:00+00:00,21.5,16.2,15.0,0.0,4.4,2020,215
580,Oslo - Blindern,SN18700,2020-08-03 00:00:00+00:00,22.4,16.3,9.7,8.4,5.2,2020,216
581,Oslo - Blindern,SN18700,2020-08-04 00:00:00+00:00,21.5,16.0,11.7,0.0,5.7,2020,217
582,Oslo - Blindern,SN18700,2020-08-05 00:00:00+00:00,17.5,14.4,12.3,1.6,6.1,2020,218
583,Oslo - Blindern,SN18700,2020-08-06 00:00:00+00:00,23.4,18.0,15.6,9.6,5.1,2020,219
584,Oslo - Blindern,SN18700,2020-08-07 00:00:00+00:00,25.4,19.8,14.3,0.2,5.7,2020,220
585,Oslo - Blindern,SN18700,2020-08-08 00:00:00+00:00,25.9,20.0,14.5,0.0,3.9,2020,221
586,Oslo - Blindern,SN18700,2020-08-09 00:00:00+00:00,23.6,19.2,14.6,0.0,7.6,2020,222
587,Oslo - Blindern,SN18700,2020-08-10 00:00:00+00:00,22.5,18.7,16.6,0.0,6.4,2020,223
588,Oslo - Blindern,SN18700,2020-08-11 00:00:00+00:00,26.1,20.4,14.3,0.1,3.8,2020,224
589,Oslo - Blindern,SN18700,2020-08-12 00:00:00+00:00,26.3,20.3,14.2,0.0,5.2,2020,225
590,Oslo - Blindern,SN18700,2020-08-13 00:00:00+00:00,25.6,19.6,14.8,0.0,5.0,2020,226
591,Oslo - Blindern,SN18700,2020-08-14 00:00:00+00:00,26.0,19.6,13.8,9.5,4.1,2020,227
592,Oslo - Blindern,SN18700,2020-08-15 00:00:00+00:00,24.1,19.2,16.6,0.0,3.5,2020,228
593,Oslo - Blindern,SN18700,2020-08-16 00:00:00+00:00,24.5,18.7,16.2,0.0,3.6,2020,229
594,Oslo - Blindern,SN18700,2020-08-17 00:00:00+00:00,27.2,20.3,13.6,0.0,3.1,2020,230
595,Oslo - Blindern,SN18700,2020-08-18 00:00:00+00:00,28.7,21.0,13.7,0.0,6.0,2020,231
596,Oslo - Blindern,SN18700,2020-08-19 00:00:00+00:00,24.5,19.4,15.1,0.0,5.2,2020,232
597,Oslo - Blindern,SN18700,2020-08-20 00:00:00+00:00,24.8,20.0,16.1,0.0,5.1,2020,233
598,Oslo - Blindern,SN18700,2020-08-21 00:00:00+00:00,20.6,17.7,16.6,5.0,4.8,2020,234
599,Oslo - Blindern,SN18700,2020-08-22 00:00:00+00:00,20.7,18.0,17.0,13.3,7.4,2020,235
600,Oslo - Blindern,SN18700,2020-08-23 00:00:00+00:00,20.9,15.6,13.4,4.4,6.6,2020,236
601,Oslo - Blindern,SN18700,2020-08-24 00:00:00+00:00,19.4,13.0,7.6,2.5,5.6,2020,237
602,Oslo - Blindern,SN18700,2020-08-25 00:00:00+00:00,18.3,12.4,5.4,0.0,6.0,2020,238
603,Oslo - Blindern,SN18700,2020-08-26 00:00:00+00:00,18.3,12.6,9.0,0.9,4.8,2020,239
604,Oslo - Blindern,SN18700,2020-08-27 00:00:00+00:00,19.1,13.0,7.5,0.0,3.4,2020,240
605,Oslo - Blindern,SN18700,2020-08-28 00:00:00+00:00,18.7,14.2,9.9,0.0,4.5,2020,241
606,Oslo - Blindern,SN18700,2020-08-29 00:00:00+00:00,19.2,13.8,10.4,0.0,5.2,2020,242
607,Oslo - Blindern,SN18700,2020-08-30 00:00:00+00:00,18.0,12.6,7.5,0.0,5.9,2020,243
608,Oslo - Blindern,SN18700,2020-08-31 00:00:00+00:00,19.2,12.5,6.3,0.0,5.7,2020,244
609,Oslo - Blindern,SN18700,2020-09-01 00:00:00+00:00,20.1,13.0,5.3,0.0,3.7,2020,245
610,Oslo - Blindern,SN18700,2020-09-02 00:00:00+00:00,21.0,14.2,6.6,0.0,3.8,2020,246
611,Oslo - Blindern,SN18700,2020-09-03 00:00:00+00:00,19.3,14.4,9.9,0.0,4.2,2020,247
612,Oslo - Blindern,SN18700,2020-09-04 00:00:00+00:00,20.6,15.5,12.5,2.9,6.1,2020,248
613,Oslo - Blindern,SN18700,2020-09-05 00:00:00+00:00,18.6,12.5,7.9,0.0,6.3,2020,249
614,Oslo - Blindern,SN18700,2020-09-06 00:00:00+00:00,19.4,11.8,6.8,1.6,5.8,2020,250
615,Oslo - Blindern,SN18700,2020-09-07 00:00:00+00:00,18.2,12.2,6.6,0.0,7.0,2020,251
616,Oslo - Blindern,SN18700,2020-09-08 00:00:00+00:00,22.2,15.2,9.7,3.6,6.5,2020,252
617,Oslo - Blindern,SN18700,2020-09-09 00:00:00+00:00,17.4,12.8,10.9,4.2,6.3,2020,253
618,Oslo - Blindern,SN18700,2020-09-10 00:00:00+00:00,16.4,11.6,6.8,3.9,5.6,2020,254
619,Oslo - Blindern,SN18700,2020-09-11 00:00:00+00:00,14.5,11.0,6.4,0.0,6.1,2020,255
620,Oslo - Blindern,SN18700,2020-09-12 00:00:00+00:00,18.3,12.7,10.5,0.7,8.3,2020,256
621,Oslo - Blindern,SN18700,2020-09-13 00:00:00+00:00,17.2,11.9,5.9,0.1,5.2,2020,257
622,Oslo - Blindern,SN18700,2020-09-14 00:00:00+00:00,20.8,15.6,11.3,0.0,4.6,2020,258
623,Oslo - Blindern,SN18700,2020-09-15 00:00:00+00:00,20.1,14.6,12.0,0.0,4.7,2020,259
624,Oslo - Blindern,SN18700,2020-09-16 00:00:00+00:00,15.9,12.9,11.6,0.0,11.7,2020,260
625,Oslo - Blindern,SN18700,2020-09-17 00:00:00+00:00,15.6,9.9,4.1,0.0,6.7,2020,261
626,Oslo - Blindern,SN18700,2020-09-18 00:00:00+00:00,23.2,13.6,5.7,0.1,5.5,2020,262
627,Oslo - Blindern,SN18700,2020-09-19 00:00:00+00:00,19.5,12.4,7.9,0.1,4.0,2020,263
628,Oslo - Blindern,SN18700,2020-09-20 00:00:00+00:00,17.5,12.8,7.6,0.0,2.9,2020,264
629,Oslo - Blindern,SN18700,2020-09-21 00:00:00+00:00,19.6,14.5,12.3,0.0,6.8,2020,265
630,Oslo - Blindern,SN18700,2020-09-22 00:00:00+00:00,16.7,13.1,10.7,0.0,6.3,2020,266
631,Oslo - Blindern,SN18700,2020-09-23 00:00:00+00:00,15.2,14.6,12.2,0.0,5.5,2020,267
632,Oslo - Blindern,SN18700,2020-09-24 00:00:00+00:00,15.9,13.5,12.4,11.0,9.7,2020,268
633,Oslo - Blindern,SN18700,2020-09-25 00:00:00+00:00,13.0,9.8,5.5,13.4,8.2,2020,269
634,Oslo - Blindern,SN18700,2020-09-26 00:00:00+00:00,10.9,8.6,6.8,27.5,13.7,2020,270
635,Oslo - Blindern,SN18700,2020-09-27 00:00:00+00:00,13.2,11.6,9.3,2.5,8.8,2020,271
636,Oslo - Blindern,SN18700,2020-09-28 00:00:00+00:00,15.1,12.9,10.3,0.0,5.3,2020,272
637,Oslo - Blindern,SN18700,2020-09-29 00:00:00+00:00,14.1,12.4,11.9,0.8,3.4,2020,273
638,Oslo - Blindern,SN18700,2020-09-30 00:00:00+00:00,14.8,12.5,10.7,3.9,3.1,2020,274
639,Oslo - Blindern,SN18700,2020-10-01 00:00:00+00:00,13.3,11.8,11.0,0.3,5.6,2020,275
640,Oslo - Blindern,SN18700,2020-10-02 00:00:00+00:00,14.7,12.9,10.9,0.3,7.2,2020,276
641,Oslo - Blindern,SN18700,2020-10-03 00:00:00+00:00,13.9,12.7,11.7,0.0,7.1,2020,277
642,Oslo - Blindern,SN18700,2020-10-04 00:00:00+00:00,13.7,13.3,12.8,0.1,9.4,2020,278
643,Oslo - Blindern,SN18700,2020-10-05 00:00:00+00:00,16.1,12.6,11.2,20.8,5.3,2020,279
644,Oslo - Blindern,SN18700,2020-10-06 00:00:00+00:00,12.0,11.1,10.4,0.3,7.2,2020,280
645,Oslo - Blindern,SN18700,2020-10-07 00:00:00+00:00,13.8,11.2,9.9,13.3,3.4,2020,281
646,Oslo - Blindern,SN18700,2020-10-08 00:00:00+00:00,12.0,10.7,10.3,13.2,3.9,2020,282
647,Oslo - Blindern,SN18700,2020-10-09 00:00:00+00:00,14.8,9.7,7.1,3.6,5.9,2020,283
648,Oslo - Blindern,SN18700,2020-10-10 00:00:00+00:00,9.4,7.5,6.3,1.3,4.3,2020,284
649,Oslo - Blindern,SN18700,2020-10-11 00:00:00+00:00,13.6,8.7,6.2,26.9,6.7,2020,285
650,Oslo - Blindern,SN18700,2020-10-12 00:00:00+00:00,13.3,7.2,3.0,0.0,2.9,2020,286
651,Oslo - Blindern,SN18700,2020-10-13 00:00:00+00:00,10.3,7.0,4.0,0.0,5.5,2020,287
652,Oslo - Blindern,SN18700,2020-10-14 00:00:00+00:00,9.7,6.5,2.3,0.0,6.5,2020,288
653,Oslo - Blindern,SN18700,2020-10-15 00:00:00+00:00,12.8,7.1,2.8,0.0,5.1,2020,289
654,Oslo - Blindern,SN18700,2020-10-16 00:00:00+00:00,12.9,8.0,3.5,0.0,5.6,2020,290
655,Oslo - Blindern,SN18700,2020-10-17 00:00:00+00:00,8.5,4.5,0.6,0.0,4.1,2020,291
656,Oslo - Blindern,SN18700,2020-10-18 00:00:00+00:00,10.2,5.0,0.4,0.0,6.9,2020,292
657,Oslo - Blindern,SN18700,2020-10-19 00:00:00+00:00,7.7,2.9,-1.1,0.0,4.0,2020,293
658,Oslo - Blindern,SN18700,2020-10-20 00:00:00+00:00,4.6,3.0,0.8,7.8,5.8,2020,294
659,Oslo - Blindern,SN18700,2020-10-21 00:00:00+00:00,8.2,6.6,4.1,24.3,3.7,2020,295
660,Oslo - Blindern,SN18700,2020-10-22 00:00:00+00:00,8.8,7.4,6.7,11.5,3.5,2020,296
661,Oslo - Blindern,SN18700,2020-10-23 00:00:00+00:00,7.3,4.9,3.9,7.9,6.0,2020,297
662,Oslo - Blindern,SN18700,2020-10-24 00:00:00+00:00,6.4,5.2,3.0,1.6,5.6,2020,298
663,Oslo - Blindern,SN18700,2020-10-25 00:00:00+00:00,12.3,10.1,6.4,5.2,8.0,2020,299
664,Oslo - Blindern,SN18700,2020-10-26 00:00:00+00:00,10.2,8.1,6.4,12.1,3.8,2020,300
665,Oslo - Blindern,SN18700,2020-10-27 00:00:00+00:00,9.3,8.3,7.7,26.2,4.3,2020,301
666,Oslo - Blindern,SN18700,2020-10-28 00:00:00+00:00,11.7,8.8,7.5,20.1,6.3,2020,302
667,Oslo - Blindern,SN18700,2020-10-29 00:00:00+00:00,10.6,6.7,4.4,2.6,5.0,2020,303
668,Oslo - Blindern,SN18700,2020-10-30 00:00:00+00:00,5.2,3.8,0.3,0.0,3.8,2020,304
669,Oslo - Blindern,SN18700,2020-10-31 00:00:00+00:00,7.8,7.0,5.1,6.5,4.8,2020,305
670,Oslo - Blindern,SN18700,2020-11-01 00:00:00+00:00,11.1,10.1,6.4,3.4,7.1,2020,306
671,Oslo - Blindern,SN18700,2020-11-02 00:00:00+00:00,14.9,11.1,8.9,14.4,9.1,2020,307
672,Oslo - Blindern,SN18700,2020-11-03 00:00:00+00:00,11.0,7.2,4.2,0.4,5.4,2020,308
673,Oslo - Blindern,SN18700,2020-11-04 00:00:00+00:00,8.3,4.4,1.2,0.0,5.9,2020,309
674,Oslo - Blindern,SN18700,2020-11-05 00:00:00+00:00,13.4,10.1,2.9,0.0,5.9,2020,310
675,Oslo - Blindern,SN18700,2020-11-06 00:00:00+00:00,16.1,10.9,8.5,0.0,6.4,2020,311
676,Oslo - Blindern,SN18700,2020-11-07 00:00:00+00:00,10.6,4.9,2.9,0.1,3.4,2020,312
677,Oslo - Blindern,SN18700,2020-11-08 00:00:00+00:00,5.6,1.7,-0.3,0.1,2.7,2020,313
678,Oslo - Blindern,SN18700,2020-11-09 00:00:00+00:00,3.4,1.6,-1.2,0.0,3.3,2020,314
679,Oslo - Blindern,SN18700,2020-11-10 00:00:00+00:00,5.2,4.6,3.4,0.0,2.2,2020,315
680,Oslo - Blindern,SN18700,2020-11-11 00:00:00+00:00,6.7,5.6,4.5,0.6,3.0,2020,316
681,Oslo - Blindern,SN18700,2020-11-12 00:00:00+00:00,6.7,5.5,5.0,2.8,3.5,2020,317
682,Oslo - Blindern,SN18700,2020-11-13 00:00:00+00:00,6.3,5.5,4.1,0.0,3.2,2020,318
683,Oslo - Blindern,SN18700,2020-11-14 00:00:00+00:00,8.3,6.6,3.3,8.4,3.8,2020,319
684,Oslo - Blindern,SN18700,2020-11-15 00:00:00+00:00,11.0,9.3,3.5,7.1,5.5,2020,320
685,Oslo - Blindern,SN18700,2020-11-16 00:00:00+00:00,11.4,9.0,7.9,20.4,6.2,2020,321
686,Oslo - Blindern,SN18700,2020-11-17 00:00:00+00:00,9.7,7.7,5.4,7.3,4.4,2020,322
687,Oslo - Blindern,SN18700,2020-11-18 00:00:00+00:00,12.0,9.7,6.6,3.5,9.9,2020,323
688,Oslo - Blindern,SN18700,2020-11-19 00:00:00+00:00,11.0,4.3,1.6,1.2,10.2,2020,324
689,Oslo - Blindern,SN18700,2020-11-20 00:00:00+00:00,5.0,0.6,-1.3,0.9,6.7,2020,325
690,Oslo - Blindern,SN18700,2020-11-21 00:00:00+00:00,9.0,4.8,-1.5,8.4,5.8,2020,326
691,Oslo - Blindern,SN18700,2020-11-22 00:00:00+00:00,7.2,5.4,3.0,0.2,7.4,2020,327
692,Oslo - Blindern,SN18700,2020-11-23 00:00:00+00:00,7.4,4.3,1.6,0.0,6.7,2020,328
693,Oslo - Blindern,SN18700,2020-11-24 00:00:00+00:00,7.1,5.1,3.0,0.0,2.7,2020,329
694,Oslo - Blindern,SN18700,2020-11-25 00:00:00+00:00,10.2,8.8,5.0,0.0,7.0,2020,330
695,Oslo - Blindern,SN18700,2020-11-26 00:00:00+00:00,8.8,2.2,0.3,0.3,3.1,2020,331
696,Oslo - Blindern,SN18700,2020-11-27 00:00:00+00:00,2.9,-1.8,-3.0,0.0,2.9,2020,332
697,Oslo - Blindern,SN18700,2020-11-28 00:00:00+00:00,-0.5,-2.1,-5.2,0.0,2.1,2020,333
698,Oslo - Blindern,SN18700,2020-11-29 00:00:00+00:00,-1.0,-2.4,-2.9,0.0,2.6,2020,334
699,Oslo - Blindern,SN18700,2020-11-30 00:00:00+00:00,3.4,1.0,-3.1,0.0,2.1,2020,335
700,Oslo - Blindern,SN18700,2020-12-01 00:00:00+00:00,4.5,1.3,-0.5,9.7,4.3,2020,336
701,Oslo - Blindern,SN18700,2020-12-02 00:00:00+00:00,2.9,1.3,-2.4,0.0,5.2,2020,337
702,Oslo - Blindern,SN18700,2020-12-03 00:00:00+00:00,2.4,1.9,1.2,3.1,5.9,2020,338
703,Oslo - Blindern,SN18700,2020-12-04 00:00:00+00:00,1.8,1.3,0.3,2.4,4.5,2020,339
704,Oslo - Blindern,SN18700,2020-12-05 00:00:00+00:00,2.9,2.4,1.5,0.2,6.8,2020,340
705,Oslo - Blindern,SN18700,2020-12-06 00:00:00+00:00,3.9,3.6,2.4,0.5,8.3,2020,341
706,Oslo - Blindern,SN18700,2020-12-07 00:00:00+00:00,5.4,4.6,3.5,2.5,8.7,2020,342
707,Oslo - Blindern,SN18700,2020-12-08 00:00:00+00:00,4.9,2.9,2.0,1.8,5.3,2020,343
708,Oslo - Blindern,SN18700,2020-12-09 00:00:00+00:00,2.6,2.1,1.7,8.1,4.3,2020,344
709,Oslo - Blindern,SN18700,2020-12-10 00:00:00+00:00,3.1,2.2,1.7,3.7,4.9,2020,345
710,Oslo - Blindern,SN18700,2020-12-11 00:00:00+00:00,2.5,1.2,0.8,1.8,6.0,2020,346
711,Oslo - Blindern,SN18700,2020-12-12 00:00:00+00:00,2.4,1.7,0.7,0.9,7.1,2020,347
712,Oslo - Blindern,SN18700,2020-12-13 00:00:00+00:00,2.8,2.6,2.0,0.2,6.4,2020,348
713,Oslo - Blindern,SN18700,2020-12-14 00:00:00+00:00,3.4,2.5,1.7,4.0,3.8,2020,349
714,Oslo - Blindern,SN18700,2020-12-15 00:00:00+00:00,4.0,2.6,1.0,10.2,4.0,2020,350
715,Oslo - Blindern,SN18700,2020-12-16 00:00:00+00:00,2.4,-0.4,-1.1,13.9,2.9,2020,351
716,Oslo - Blindern,SN18700,2020-12-17 00:00:00+00:00,4.7,3.0,-1.0,0.6,4.5,2020,352
717,Oslo - Blindern,SN18700,2020-12-18 00:00:00+00:00,4.7,2.6,0.5,11.5,3.7,2020,353
718,Oslo - Blindern,SN18700,2020-12-19 00:00:00+00:00,7.2,6.4,4.2,5.1,4.9,2020,354
719,Oslo - Blindern,SN18700,2020-12-20 00:00:00+00:00,7.7,6.9,5.6,6.8,5.2,2020,355
720,Oslo - Blindern,SN18700,2020-12-21 00:00:00+00:00,7.4,5.1,4.1,1.0,5.2,2020,356
721,Oslo - Blindern,SN18700,2020-12-22 00:00:00+00:00,5.2,4.1,3.3,1.2,4.0,2020,357
722,Oslo - Blindern,SN18700,2020-12-23 00:00:00+00:00,3.9,0.3,-1.1,4.0,4.0,2020,358
723,Oslo - Blindern,SN18700,2020-12-24 00:00:00+00:00,2.6,0.1,-1.7,0.0,5.5,2020,359
724,Oslo - Blindern,SN18700,2020-12-25 00:00:00+00:00,1.6,-1.4,-3.3,0.0,4.7,2020,360
725,Oslo - Blindern,SN18700,2020-12-26 00:00:00+00:00,3.0,0.1,-3.4,0.1,3.9,2020,361
726,Oslo - Blindern,SN18700,2020-12-27 00:00:00+00:00,5.0,2.9,1.2,23.6,8.0,2020,362
727,Oslo - Blindern,SN18700,2020-12-28 00:00:00+00:00,1.8,1.3,0.8,23.2,4.7,2020,363
728,Oslo - Blindern,SN18700,2020-12-29 00:00:00+00:00,2.7,2.3,1.3,9.6,7.3,2020,364
729,Oslo - Blindern,SN18700,2020-12-30 00:00:00+00:00,2.6,1.7,1.3,5.6,8.5,2020,365
730,Oslo - Blindern,SN18700,2020-12-31 00:00:00+00:00,1.5,0.2,-0.2,2.6,5.1,2020,366
731,Oslo - Blindern,SN18700,2021-01-01 00:00:00+00:00,1.0,0.3,-0.7,0.0,4.2,2021,1
732,Oslo - Blindern,SN18700,2021-01-02 00:00:00+00:00,1.2,0.9,0.5,1.0,4.6,2021,2
733,Oslo - Blindern,SN18700,2021-01-03 00:00:00+00:00,1.3,-1.4,-2.7,0.0,5.6,2021,3
734,Oslo - Blindern,SN18700,2021-01-04 00:00:00+00:00,-1.8,-3.0,-4.4,0.0,6.0,2021,4
735,Oslo - Blindern,SN18700,2021-01-05 00:00:00+00:00,-1.5,-6.6,-8.9,0.0,4.6,2021,5
736,Oslo - Blindern,SN18700,2021-01-06 00:00:00+00:00,-6.9,-9.0,-11.6,0.0,6.6,2021,6
737,Oslo - Blindern,SN18700,2021-01-07 00:00:00+00:00,-4.5,-5.3,-7.2,0.3,6.8,2021,7
738,Oslo - Blindern,SN18700,2021-01-08 00:00:00+00:00,-3.8,-4.6,-5.9,0.4,4.4,2021,8
739,Oslo - Blindern,SN18700,2021-01-09 00:00:00+00:00,-3.6,-5.0,-6.0,0.0,3.7,2021,9
740,Oslo - Blindern,SN18700,2021-01-10 00:00:00+00:00,-0.3,-3.6,-6.3,0.8,2.9,2021,10
741,Oslo - Blindern,SN18700,2021-01-11 00:00:00+00:00,-3.9,-5.6,-7.1,0.0,5.7,2021,11
742,Oslo - Blindern,SN18700,2021-01-12 00:00:00+00:00,-5.0,-8.0,-11.9,1.1,2.9,2021,12
743,Oslo - Blindern,SN18700,2021-01-13 00:00:00+00:00,-1.9,-3.9,-6.9,1.6,11.1,2021,13
744,Oslo - Blindern,SN18700,2021-01-14 00:00:00+00:00,-3.2,-6.1,-7.4,0.7,8.1,2021,14
745,Oslo - Blindern,SN18700,2021-01-15 00:00:00+00:00,-5.2,-9.9,-12.3,0.0,3.4,2021,15
746,Oslo - Blindern,SN18700,2021-01-16 00:00:00+00:00,-5.3,-10.1,-12.3,0.0,2.6,2021,16
747,Oslo - Blindern,SN18700,2021-01-17 00:00:00+00:00,-5.7,-6.9,-11.5,0.0,3.3,2021,17
